,address
6512,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 15/21"
6513,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 17"
6514,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 21"
6515,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 1"
6516,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 1а"
6517,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 2"
6518,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 3"
6519,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 3А"
6520,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 3б"
6521,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 3 в"
6522,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 3в"
6523,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 3Г"
6524,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 4"
6525,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 4а"
6526,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 5"
6527,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 6"
6528,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 6"
6529,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 7"
6530,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 8"
6531,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 9"
6532,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 10"
6533,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 11"
6534,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 13"
6535,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 15"
6536,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 17"
6537,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 19"
6538,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 21"
6539,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 23"
6540,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 27"
6541,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 27А"
6542,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 27 Б"
6543,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 27Б"
6544,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 28"
6545,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 30"
6546,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 31"
6547,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 32"
6548,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 33"
6549,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 34"
6550,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 34Б"
6551,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 34В"
6552,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 35"
6553,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 36"
6554,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 36Б"
6555,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 36В"
6556,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 37"
6557,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 38"
6558,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 39"
6559,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 39А"
6560,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 39Б"
6561,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 40"
6562,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 41"
6563,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 42"
6564,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 43"
6565,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 44"
6566,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 45"
6567,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 46"
6568,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 47"
6569,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 49"
6570,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 51"
6571,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 52"
6572,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 53"
6573,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 54"
6574,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 55"
6575,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 56"
6576,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 57"
6577,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 58"
6578,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 60"
6579,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 62"
6580,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 64"
6581,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 66"
6582,"Респ. Татарстан, г. Казань, ул. Адоратского, д. 66А"
6583,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 1"
6584,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 1А"
6585,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 1б"
6586,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 1в"
6587,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 1д"
6588,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 1е"
6589,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 3"
6590,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 3а"
6591,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 3б"
6592,"Респ. Татарстан, г. Казань, ул. Азинская 2-я, д. 3в"
6593,"Респ. Татарстан, г. Казань, ул. Айвазовского, д. 3"
6594,"Респ. Татарстан, г. Казань, ул. Айвазовского, д. 5"
6595,"Респ. Татарстан, г. Казань, ул. Айвазовского, д. 14"
6596,"Респ. Татарстан, г. Казань, ул. Айвазовского, д. 14А"
6597,"Респ. Татарстан, г. Казань, ул. Айвазовского, д. 16"
6598,"Респ. Татарстан, г. Казань, ул. Айвазовского, д. 19"
6599,"Респ. Татарстан, г. Казань, ул. Айвазовского, д. 27/52"
6600,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 1"
6601,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 4"
6602,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 6"
6603,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 7"
6604,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 8"
6605,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 8 "
6606,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 8А"
6607,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 12"
6608,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 14"
6609,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 15"
6610,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 15А"
6611,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 16"
6612,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 18"
6613,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 20"
6614,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 22"
6615,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 24"
6616,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 24А"
6617,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 25"
6618,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 25/45"
6619,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 25А"
6620,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 27А"
6621,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 29А"
6622,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 31А"
6623,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 114"
6624,"Респ. Татарстан, г. Казань, ул. Айдарова, д. 116"
6625,"Респ. Татарстан, г. Казань, ул. Айрата Арсланова, д. 8"
6626,"Респ. Татарстан, г. Казань, ул. Айрата Арсланова, д. 11"
6627,"Респ. Татарстан, г. Казань, ул. Айрата Арсланова, д. 13"
6628,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 4"
6629,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 6"
6630,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 6А"
6631,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 16"
6632,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 18/19"
6633,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 19"
6634,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 42"
6635,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 46"
6636,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 46/12"
6637,"Респ. Татарстан, г. Казань, ул. Академика Арбузова, д. 48"
6638,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 1"
6639,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 3"
6640,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 4"
6641,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 5"
6642,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 6"
6643,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 7"
6644,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 8"
6645,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 9"
6646,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 9, к. 2"
6647,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 10"
6648,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 10А"
6649,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 12"
6650,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 12А"
6651,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 14"
6652,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 14А"
6653,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 15 "
6654,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 15"
6655,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 16/24"
6656,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 16А"
6657,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 17"
6658,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 19"
6659,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 20"
6660,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 20А"
6661,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 21"
6662,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 22"
6663,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 22А"
6664,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 22Б"
6665,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 22В"
6666,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 22Г"
6667,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 23"
6668,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 24"
6669,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 26"
6670,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 28"
6671,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 30"
6672,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 31"
6673,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 32"
6674,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 33"
6675,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 34"
6676,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 37"
6677,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 39"
6678,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 41"
6679,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 43"
6680,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 47/21"
6681,"Респ. Татарстан, г. Казань, ул. Академика Глушко, д. 49"
6682,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 1"
6683,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 2"
6684,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 3"
6685,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 4"
6686,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 5"
6687,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 6"
6688,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 8"
6689,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 10"
6690,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 11"
6691,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 12"
6692,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 13"
6693,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 17"
6694,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 18"
6695,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 19"
6696,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 20"
6697,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 21"
6698,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 23"
6699,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 25"
6700,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 27"
6701,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 28а"
6702,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 30а"
6703,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 30Б"
6704,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 30в"
6705,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 30Г"
6706,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 31"
6707,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 31а"
6708,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 37"
6709,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 37а"
6710,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 39/1"
6711,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 40"
6712,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 40а"
6713,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 42"
6714,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 44"
6715,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 48"
6716,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. 52А"
6717,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. В/Г 20"
6718,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. В/Г 22"
6719,"Респ. Татарстан, г. Казань, ул. Академика Губкина, д. В/Г 23"
6720,"Респ. Татарстан, г. Казань, ул. Академика Завойского, д. 2"
6721,"Респ. Татарстан, г. Казань, ул. Академика Завойского, д. 3"
6722,"Респ. Татарстан, г. Казань, ул. Академика Завойского, д. 4"
6723,"Респ. Татарстан, г. Казань, ул. Академика Завойского, д. 5"
6724,"Респ. Татарстан, г. Казань, ул. Академика Завойского, д. 6"
6725,"Респ. Татарстан, г. Казань, ул. Академика Завойского, д. 7"
